,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
68,Oliver Günes,,FW,IF Gnistan,22-173,2002,4,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Erik Gunnarsson,seSWE,DF,FF Jaro,26-127,1999,9,9,810,9.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Didrik Hafstad,noNOR,FW,IF Gnistan,21-171,2003,10,4,423,4.7,2,1,3,2,0,0,1,0,0.43,0.21,0.64,0.43,0.64,Matches
71,Aatu Hakala,fiFIN,GK,KuPS,24-322,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Juuso Hämäläinen,fiFIN,DF,Inter Turku,31-189,1993,8,8,651,7.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Niko Hämäläinen,fiFIN,DF,KuPS,28-102,1997,8,5,464,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Vertti Hänninen,fiFIN,"MF,FW",IF Gnistan,23-014,2002,8,7,472,5.2,3,0,3,3,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches
75,Martti Haukioja,fiFIN,DF,VPS,25-252,1999,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Arttu Heinonen,fiFIN,MF,KuPS,26-054,1999,11,3,342,3.8,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
77,Saku Heiskanen,fiFIN,"MF,DF",IF Gnistan,23-259,2001,10,9,792,8.8,0,3,3,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,Matches
78,Santeri Hostikka,fiFIN,"MF,FW",HJK,27-258,1997,10,10,744,8.3,5,1,6,5,0,0,3,1,0.60,0.12,0.73,0.60,0.73,Matches
79,Jordan Houston,sctSCO,DF,Haka,25-138,2000,8,8,634,7.0,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
80,Roni Hudd,fiFIN,FW,HJK,20-146,2005,2,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Liam Hughes,nirNIR,GK,Haka,23-300,2001,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Hugo,,"MF,FW",IFK Mariehamn,26-065,1999,11,11,953,10.6,0,3,3,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches
83,Kalle Huhta,fiFIN,FW,VPS,18-059,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Urho Huhtamäki,fiFIN,DF,KTP,21-058,2004,1,1,67,0.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
85,Anttoni Huttunen,fiFIN,"MF,FW",IFK Mariehamn,23-180,2001,10,9,815,9.1,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
86,Eetu Huuhtanen,fiFIN,GK,Inter Turku,22-135,2003,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Teemu Hytönen,fiFIN,FW,Ilves,22-304,2002,8,5,387,4.3,2,0,2,2,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches
88,Samouil Izountouemoi,seSWE,MF,FF Jaro,26-136,1999,3,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Olli Jakonen,fiFIN,FW,VPS,25-057,2000,6,1,169,1.9,3,1,4,3,0,0,1,0,1.60,0.53,2.13,1.60,2.13,Matches
90,Milton Jansson,fiFIN,MF,IFK Mariehamn,17-166,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Iiro Järvinen,fiFIN,MF,Inter Turku,28-224,1996,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Musa Jatta,gmGAM,DF,AC Oulu,20-177,2004,5,4,339,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Niklas Jokelainen,fiFIN,"MF,FW",AC Oulu,,,11,10,905,10.1,2,2,4,2,0,0,3,0,0.20,0.20,0.40,0.20,0.40,Matches
94,Oiva Jukkola,fiFIN,MF,Ilves,23-025,2002,10,9,806,9.0,2,2,4,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches
95,Pedro Justiniano,ptPOR,DF,VPS,25-058,2000,4,1,143,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Armend Kabashi,fiFIN,MF,IF Gnistan,29-193,1995,7,7,534,5.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Rene Kähkönen,fiFIN,FW,AC Oulu,19-153,2006,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Severi Kähkönen,fiFIN,"MF,FW",FF Jaro,25-097,2000,9,8,591,6.6,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches
99,Jere Kallinen,fiFIN,MF,HJK,23-156,2002,6,2,221,2.5,1,0,1,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matches
100,Giorgos Kanellopoulos,grGRE,"MF,FW",HJK,25-137,2000,11,10,795,8.8,2,1,3,2,0,0,4,0,0.23,0.11,0.34,0.23,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Jardell Kanga,seSWE,"FW,MF",Ilves,19-184,2005,7,3,182,2.0,1,1,2,0,1,1,0,0,0.49,0.49,0.99,0.00,0.49,Matches
102,Rasmus Karjalainen,fiFIN,"FW,MF",SJK,29-072,1996,12,9,775,8.6,4,3,7,2,2,2,2,0,0.46,0.35,0.81,0.23,0.58,Matches
103,Tuomas Kaukua,fiFIN,"MF,FW",AC Oulu,24-245,2000,6,5,441,4.9,1,1,2,1,0,0,0,0,0.20,0.20,0.41,0.20,0.41,Matches
104,Joonas Kekarainen,fiFIN,MF,Inter Turku,20-043,2005,7,1,123,1.4,0,1,1,0,0,0,0,0,0.00,0.73,0.73,0.00,0.73,Matches
105,Otto Kemppainen,fiFIN,"MF,DF",AC Oulu,21-231,2003,5,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
106,Tuomas Koivisto,fiFIN,DF,SJK,21-159,2004,4,1,179,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Ozan Kökcü,azAZE,"FW,MF",HJK,26-301,1998,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Marius Könkkölä,fiFIN,FW,SJK,21-227,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Julius Körkkö,fiFIN,MF,AC Oulu,18-347,2006,8,2,309,3.4,2,0,2,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches
110,Miika Koskela,fiFIN,DF,AC Oulu,21-338,2003,9,9,809,9.0,1,0,1,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11,Matches
111,Jiri Koski,fiFIN,GK,KTP,30-056,1995,5,5,385,4.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
112,Axel Kouame,ciCIV,MF,Inter Turku,21-244,2003,10,10,898,10.0,3,3,6,3,0,0,1,0,0.30,0.30,0.60,0.30,0.60,Matches
113,Dion Krasniqi,xkKVX,"FW,MF",KuPS,21-264,2003,10,4,366,4.1,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
114,Florian Krebs,deGER,MF,Inter Turku,26-131,1999,9,9,804,8.9,1,3,4,1,0,0,2,0,0.11,0.34,0.45,0.11,0.45,Matches
115,Johannes Kreidl,atAUT,GK,KuPS,29-100,1996,12,12,"1,058",11.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Faris Krkalić,baBIH,GK,Ilves,23-000,2002,3,2,264,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Luka Kuittinen,fiFIN,DF,Inter Turku,22-078,2003,8,8,720,8.0,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
118,Niilo Kujasalo,fiFIN,MF,IFK Mariehamn,21-090,2004,11,11,961,10.7,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
119,Ville Kumpu,fiFIN,DF,Ilves,17-117,2008,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Manasse Kusu,seSWE,MF,FF Jaro,23-175,2001,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Thomas Lahdensuo,fiFIN,FW,Inter Turku,20-007,2005,4,0,71,0.8,1,0,1,1,0,0,0,0,1.27,0.00,1.27,1.27,1.27,Matches
