Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
132,Andrés Ferrari,uyURU,FW,Sint-Truiden,21,2003,22,9,824,9.2,5,1,6,5,0,0,1,0,3.1,3.1,0.3,3.4,17,16,48,0.55,0.11,0.66,0.55,0.66,0.34,0.04,0.37,0.34,0.37,Matches
133,Fabio Ferraro,beBEL,"DF,MF",Dender,21,2002,30,29,"2,401",26.7,0,5,5,0,0,0,1,0,0.8,0.8,3.2,4,79,91,149,0,0.19,0.19,0,0.19,0.03,0.12,0.15,0.03,0.15,Matches
134,Nacho Ferri,esESP,FW,Kortrijk,19,2004,27,22,"1,844",20.5,6,1,7,6,0,0,6,0,6.7,6.7,1.9,8.5,20,41,99,0.29,0.05,0.34,0.29,0.34,0.33,0.09,0.42,0.33,0.42,Matches
135,Karol Fila,plPOL,DF,Dender,26,1998,5,5,366,4.1,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,3,14,18,0.25,0,0.25,0.25,0.25,0.16,0.03,0.2,0.16,0.2,Matches
136,Mathias Fixelles,beBEL,"FW,MF",Westerlo,27,1996,5,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
137,Alexis Flips,frFRA,FW,Anderlecht,24,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
138,Alexis Flips,frFRA,"FW,MF",Charleroi,24,2000,10,2,278,3.1,0,0,0,0,0,0,1,0,0.6,0.6,1.6,2.3,4,19,30,0,0,0,0,0,0.2,0.53,0.73,0.2,0.73,Matches
139,Thomas Foket,beBEL,DF,Anderlecht,29,1994,11,5,525,5.8,0,2,2,0,0,0,0,0,0.3,0.3,1.3,1.6,7,26,37,0,0.34,0.34,0,0.34,0.05,0.23,0.28,0.05,0.28,Matches
140,Núrio Fortuna,aoANG,"MF,DF",Gent,29,1995,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
141,Marlon Fossey,usUSA,DF,Standard Liège,25,1998,29,28,"2,525",28.1,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.7,54,95,111,0,0.04,0.04,0,0.04,0.01,0.08,0.1,0.01,0.1,Matches
