Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
65,Thiago Borbas,uyURU,"FW,MF",RB Bragantino,23-069,2002,6,1,127,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,3,7,0,0,0,0,0,0.07,0.1,0.17,0.07,0.17,Matches
66,Daniel Borges,brBRA,DF,Mirassol,32-084,1993,5,2,243,2.7,2,0,2,2,0,0,2,0,0.3,0.3,0.2,0.5,1,4,7,0.74,0,0.74,0.74,0.74,0.12,0.08,0.2,0.12,0.2,Matches
67,Marllon Borges,brBRA,DF,Ceará,33-060,1992,11,11,990,11,2,0,2,2,0,0,0,0,0.4,0.4,0,0.4,2,20,1,0.18,0,0.18,0.18,0.18,0.03,0,0.03,0.03,0.03,Matches
68,Pedro Borges,brBRA,MF,Fortaleza,28-104,1997,1,0,37,0.4,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Rafael Borré,coCOL,FW,Internacional,29-273,1995,8,4,328,3.6,2,0,2,2,0,0,0,0,0.6,0.6,0.1,0.7,4,0,19,0.55,0,0.55,0.55,0.55,0.17,0.02,0.19,0.17,0.19,Matches
70,Lucas Braga,brBRA,"FW,MF",Vitória,28-217,1996,6,3,245,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0,0.6,8,11,15,0.37,0,0.37,0.37,0.37,0.22,0,0.22,0.22,0.22,Matches
71,Martin Braithwaite,dkDEN,FW,Grêmio,34-010,1991,10,10,820,9.1,4,1,5,2,2,2,2,0,3.2,1.6,0.3,1.9,3,19,35,0.44,0.11,0.55,0.22,0.33,0.35,0.04,0.39,0.18,0.21,Matches
72,Gabriel Brazão,brBRA,GK,Santos,24-253,2000,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
73,Breno,brBRA,FW,Fortaleza,29-142,1996,7,6,453,5,1,0,1,1,0,0,0,0,1.8,1.8,0.8,2.5,23,18,38,0.2,0,0.2,0.2,0.2,0.35,0.15,0.5,0.35,0.5,Matches
74,Breno,brBRA,MF,Corinthians,20-115,2005,11,10,819,9.1,1,1,2,1,0,0,3,0,0.2,0.2,0.5,0.7,13,56,23,0.11,0.11,0.22,0.11,0.22,0.02,0.06,0.07,0.02,0.07,Matches
75,Emanuel Brítez,arARG,DF,Fortaleza,33-081,1992,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,8,2,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Bruninho,brBRA,MF,Fortaleza,20-004,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,3,0,0,0,0,0,0.03,0.08,0.12,0.03,0.12,Matches
77,Fabrício Bruno,brBRA,DF,Cruzeiro,29-123,1996,11,11,990,11,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,2,35,1,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
78,Cacá,brBRA,DF,Corinthians,26-051,1999,8,8,690,7.7,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,5,19,2,0.13,0,0.13,0.13,0.13,0.03,0.02,0.05,0.03,0.05,Matches
79,Raúl Cáceres,pyPAR,DF,Vitória,33-270,1991,2,2,178,2,0,0,0,0,0,0,1,0,0,0,0,0,3,8,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
