Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
518,Enzo Tchato,cmCMR,DF,Montpellier,21,2002,27,21,"1,899",21.1,0,0,0,0,0,0,3,0,0.1,0.1,1.5,1.7,44,62,95,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,Matches
519,Arnau Tenas,esESP,GK,Paris S-G,23,2001,1,1,90,1,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,1,1,0,1,0,0.21,0.21,0,0.21,Matches
520,Tanner Tessmann,usUSA,MF,Lyon,22,2001,25,13,"1,234",13.7,1,0,1,1,0,0,3,0,1,1,0.6,1.6,11,56,27,0.07,0,0.07,0.07,0.07,0.07,0.05,0.11,0.07,0.11,Matches
521,Teddy Teuma,mtMLT,MF,Reims,30,1993,17,9,750,8.3,1,0,1,0,1,1,1,0,1.4,0.6,1.1,1.7,9,47,34,0.12,0,0.12,0,0,0.17,0.13,0.3,0.07,0.21,Matches
522,Jordan Teze,nlNED,DF,Monaco,24,1999,16,8,569,6.3,1,0,1,1,0,0,2,1,1.2,1.2,1.5,2.7,9,31,41,0.16,0,0.16,0.16,0.16,0.19,0.24,0.43,0.19,0.43,Matches
523,Sorba Thomas,wlsWAL,"FW,MF",Nantes,24,1999,25,15,"1,321",14.7,1,3,4,1,0,0,3,0,1.5,1.5,3.7,5.2,41,34,93,0.07,0.2,0.27,0.07,0.27,0.1,0.25,0.35,0.1,0.35,Matches
524,Adrien Thomasson,frFRA,MF,Lens,30,1993,33,31,"2,615",29.1,3,7,10,3,0,0,7,0,5.9,5.9,6,11.9,30,149,138,0.1,0.24,0.34,0.1,0.34,0.2,0.21,0.41,0.2,0.41,Matches
525,Corentin Tolisso,frFRA,MF,Lyon,29,1994,32,27,"2,329",25.9,7,4,11,7,0,0,4,0,5.3,5.3,4.9,10.2,31,166,133,0.27,0.15,0.43,0.27,0.43,0.21,0.19,0.4,0.21,0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Abdoulaye Touré,gnGUI,MF,Le Havre,30,1994,28,26,"2,324",25.8,10,1,11,2,8,9,5,0,9.4,2.2,0.4,2.6,17,109,28,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.1,Matches
527,Birama Touré,mlMLI,"MF,DF",Montpellier,32,1992,8,2,300,3.3,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,9,2,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
528,Ousmane Toure,frFRA,DF,Lille,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
