,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
97,Steve Castro,ecECU,MF,Mushuc Runa,26-051,1999,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Juan Cazares,ecECU,MF,Independiente,33-073,1992,10,3,468,5.2,1,2,3,1,0,0,0,0,0.19,0.38,0.58,0.19,0.58,Matches
99,Adrian Cela,ecECU,"MF,DF",El Nacional,28-065,1997,14,13,973,10.8,3,3,6,3,0,0,2,0,0.28,0.28,0.55,0.28,0.55,Matches
100,José Cevallos Enríquez,ecECU,MF,El Nacional,30-148,1995,13,7,687,7.6,1,2,3,1,0,0,1,0,0.13,0.26,0.39,0.13,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Jeremy Chacón,ecECU,MF,Deportivo Cuenca,22-096,2003,10,8,646,7.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
102,Aníbal Chalá,ecECU,"DF,MF",Barcelona,29-037,1996,8,4,406,4.5,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches
103,Jeison Chala,ecECU,MF,El Nacional,30-189,1994,7,2,256,2.8,1,0,1,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches
104,Leodan Chalá,ecECU,GK,El Nacional,27-137,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Walter Chala,ecECU,DF,Barcelona,25-042,2000,4,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Tommy Chamba,ecECU,MF,CS Emelec,20-235,2004,6,0,127,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Jhon Chancellor,veVEN,DF,Univ Católica,33-164,1992,10,8,771,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Jairón Charcopa,ecECU,FW,Técnico Univ.,21-139,2004,7,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
